I
640 Version - Iran FIR custom airways (from AIP, generated)
MITUS  36.093056   56.963333 ULANO  35.874444   55.345278 1 190 600 A647
ULANO  35.874444   55.345278 ODKAT  35.780556   54.696111 1 140 600 A647
ODKAT  35.780556   54.696111 MIRUR  35.705833   54.194167 1 140 600 A647
MIRUR  35.705833   54.194167 RAPKI  35.581667   53.368889 1 140 600 A647
RAPKI  35.581667   53.368889 RUBIL  35.531389   52.990278 1 140 600 A647
RUBIL  35.531389   52.990278 BUBUX  35.506389   52.803889 1 140 600 A647
BUBUX  35.506389   52.803889 MUXOR  35.491667   52.696389 1 140 600 A647
MUXOR  35.491667   52.696389 VR     35.342500   51.636944 1 140 600 A647
VR     35.342500   51.636944 IKA    35.409444   51.178333 1 090 600 A647
IKA    35.409444   51.178333 RUS    35.445278   50.905278 1 090 600 A647
RUS    35.445278   50.905278 PAVET  35.444167   49.883611 1 210 600 A647
PAVET  35.444167   49.883611 LOXAM  35.070833   49.266944 1 180 600 A647
LOXAM  35.070833   49.266944 HAM    34.866667   48.550278 1 180 600 A647
HAM    34.866667   48.550278 ASRIL  34.470278   47.753611 1 160 600 A647
ASRIL  34.470278   47.753611 KMS    34.339722   47.168889 1 160 600 A647
KMS    34.339722   47.168889 RAGET  33.513333   45.896667 1 160 600 A647
SYZ    29.540000   52.588611 RUBAK  29.438056   51.705000 1 150 600 A788
RUBAK  29.438056   51.705000 IVERA  29.384167   51.261111 1 150 600 A788
IVERA  29.384167   51.261111 KHG    29.263889   50.316667 1 150 600 A788
KHG    29.263889   50.316667 PATIR  28.935000   49.489722 1 150 600 A788
IMLOT  25.286944   57.133333 KATUS  25.266667   57.783333 1 130 600 A791
KATUS  25.266667   57.783333 PEDEX  25.203056   59.358611 1 130 600 A791
PEDEX  25.203056   59.358611 KINOX  25.162500   60.161667 1 060 600 A791
KINOX  25.162500   60.161667 EGPIC  25.136389   60.625000 1 060 600 A791
RST    37.326111   49.615833 SIVIT  37.598056   49.086389 1 130 600 B121
SIVIT  37.598056   49.086389 DASDA  38.693056   46.870556 1 250 600 B121
DASDA  38.693056   46.870556 MAGRI  38.902222   46.383333 1 250 600 B121
PAXAT  33.348889   46.088611 ILM    33.578333   46.415278 1 200 600 B411
ILM    33.578333   46.415278 YASER  33.980556   47.082222 1 200 600 B411
YASER  33.980556   47.082222 IVELI  34.583056   48.497778 1 200 600 B411
IVELI  34.583056   48.497778 DAXIL  34.859722   49.581667 1 160 600 B411
DAXIL  34.859722   49.581667 SAV    35.018333   50.371111 1 160 600 B411
SAV    35.018333   50.371111 SOGOL  35.141389   50.524444 1 090 600 B411
SOGOL  35.141389   50.524444 OXADU  35.143611   51.207222 1 300 600 B411
OXADU  35.143611   51.207222 NAGIN  35.105278   51.885556 1 200 600 B411
NAGIN  35.105278   51.885556 DHN    35.254167   52.720000 1 200 600 B411
DHN    35.254167   52.720000 GIBAB  35.536944   54.615556 1 160 600 B411
GIBAB  35.536944   54.615556 ITELO  35.592778   55.014444 1 130 600 B411
ITELO  35.592778   55.014444 MUSEG  35.782222   56.441944 1 130 600 B411
MUSEG  35.782222   56.441944 RABAM  35.911667   57.498611 1 130 600 B411
RABAM  35.911667   57.498611 LOXED  35.981667   58.102500 1 130 600 B411
LOXED  35.981667   58.102500 RIBUX  36.020000   58.446389 1 130 600 B411
RIBUX  36.020000   58.446389 MSD    36.231111   59.650556 1 200 600 B411
MSD    36.231111   59.650556 TANBU  35.572778   60.575000 1 260 600 B411
TANBU  35.572778   60.575000 PAMTU  35.168333   61.135000 1 260 600 B411
KUVER  28.156944   50.100000 IMDAT  27.683333   51.183333 1 050 600 B416
IMDAT  27.683333   51.183333 DURSI  27.205278   52.028889 1 150 600 B416
DURSI  27.205278   52.028889 PEGET  27.076111   52.254167 1 150 600 B416
PEGET  27.076111   52.254167 EGMIT  26.561111   53.140278 1 150 600 B416
EGMIT  26.561111   53.140278 LEVNA  26.316944   53.553333 1 150 600 B416
LEVNA  26.316944   53.553333 ORSAR  26.075000   53.958333 1 150 600 B416
EGVEL  34.716111   50.501389 UKITA  33.115833   50.011389 1 140 600 B417
