I
610 Version - Iran FIR custom (from AIP, generated)
  30.375278   48.220556 ABD
  36.150000   49.233333 ABHAR
  25.877778   55.022778 ABM
  39.323333   44.086667 AGINA
  30.744722   49.680278 AJR
  30.783889   56.959444 ALGUV
  30.179167   57.506944 ALKES
  29.864444   57.259722 ALKUL
  36.783889   51.069167 ALKUP
  29.788333   56.847778 ALMEK
  30.576111   56.473333 ALMOB
  33.299444   56.328056 ALMUD
  36.460000   60.855833 ALMUX
  32.856667   54.033889 ALNER
  28.551667   50.176667 ALNIN
  37.006111   54.779167 ALNIT
  26.685000   53.625000 ALNOL
  34.155278   58.372500 ALPEX
  37.708333   44.626667 ALRAM
  35.187778   55.693333 ALROT
  27.179722   50.825556 ALSER
  32.503889   49.361667 ALTAX
  33.535833   47.013056 ALTET
  36.733056   49.806389 ALTIV
  37.065556   47.361944 AMBEX
  38.315556   48.434722 ARB
  34.136944   49.853611 ARK
  35.268611   46.521667 ASLAX
  28.799444   56.171944 ASMET
  28.164444   56.081389 ASMUK
  30.648333   52.163333 ASNIT
  36.988333   48.830000 ASPOK
  34.470278   47.753611 ASRIL
  35.118889   57.873056 ASRUX
  26.956667   63.303333 ASVIB
  33.775833   59.307778 ASVIS
  31.337500   48.764444 AWZ
  29.077222   58.458333 BAM
  38.168056   50.238611 BATEV
  32.972222   59.200000 BJD
  27.196944   56.366667 BND
  32.984444   50.674722 BOMID
  32.215833   54.737222 BOMIT
  31.613333   54.765278 BOMUN
  38.050000   44.300000 BONAM
  31.473889   53.970833 BONEG
  36.640556   57.779722 BONEM
  26.745556   56.447500 BONIK
  32.387222   54.158056 BONOL
  36.709444   54.686667 BONUL
  36.597778   50.511389 BONUP
  30.736944   58.824722 BOPAG
  33.320278   59.246667 BOPEB
  34.834722   47.080833 BOPEL
  30.472500   48.714167 BOPIS
  38.474722   45.360278 BORES
  26.723611   55.719722 BOSOS
  29.878056   50.920833 BOTAS
  36.798611   58.626111 BOTEK
  28.974444   55.368056 BOTUX
  34.630278   51.863056 BOXAM
